ID,Compound Name,Primary Therapeutic Area,Primary Mechanism of Action,TASS Score,MANS Score,Disease similarity,Rationale for Scores
440,Gabapentin,"Epilepsy, Neuropathic Pain",Anticonvulsant (GABA Analog),1.5,9.7,4.8,TA: Neurology/pain. Score reflects potential for weight gain. MoA: Binds to alpha-2-delta subunit of voltage-gated calcium channels.
441,Galantamine,Alzheimer's Disease,Acetylcholinesterase Inhibitor,0,9.8,0.3,"TA: Neurology, unrelated. MoA: Increases acetylcholine levels."
442,Ganciclovir,Cytomegalovirus (CMV) Infections,Antiviral (Guanoisine Analog),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibits viral DNA synthesis."
443,Ganirelix,Infertility Treatment,GnRH Antagonist,0,9.9,0.6,"TA: Reproductive medicine, unrelated. MoA: Modulation of the HPG axis."
444,Gatifloxacin,Bacterial Infections,Fluoroquinolone Antibiotic,0.3,10,0,TA: Infectious disease. Score reflects risk of dysglycemia. MoA: Inhibition of bacterial DNA replication.
445,Gefitinib,Non-Small Cell Lung Cancer (NSCLC),Tyrosine Kinase Inhibitor (EGFR),0,9,0,"TA: Oncology, unrelated. MoA: Kinase inhibition."
446,Gemcitabine,Various Cancers,Antineoplastic (Antimetabolite),0,10,0,"TA: Oncology, unrelated. MoA: Inhibits DNA synthesis."
447,Gemfibrozil,Hyperlipidemia,Fibrate (PPAR-alpha Agonist),5.6,8.3,6.7,"TA: Treats dyslipidemia, a key comorbidity. MoA: PPAR agonism affects lipid metabolism."
448,Gemifloxacin,Bacterial Infections,Fluoroquinolone Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial DNA replication."
449,Gentamicin,Bacterial Infections,Aminoglycoside Antibiotic (30S Ribosome Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis."
450,Ginkgo Biloba,"Cognitive Function, Dementia",Botanical Supplement,0,10,0.1,"TA: Supplement, unrelated. MoA: Complex, includes antioxidant and circulatory effects."
451,Glatiramer Acetate,Multiple Sclerosis,Immunomodulator,0,9.3,0,"TA: Neurology/immunology, unrelated. MoA: Mimics myelin basic protein, modulates T-cell response."
452,Glibenclamide,Type 2 Diabetes,Sulfonylurea,7,7.8,7.5,TA: T2DM is a key comorbidity. MoA: Stimulates insulin release by blocking K-ATP channels. Can cause weight gain.
453,Gliclazide,Type 2 Diabetes,Sulfonylurea,7,7.8,7.5,TA: T2DM is a key comorbidity. MoA: Stimulates insulin release by blocking K-ATP channels. Can cause weight gain.
454,Glimepiride,Type 2 Diabetes,Sulfonylurea,7,7.8,7.5,TA: T2DM is a key comorbidity. MoA: Stimulates insulin release by blocking K-ATP channels. Can cause weight gain.
455,Glipizide,Type 2 Diabetes,Sulfonylurea,7,7.8,7.5,TA: T2DM is a key comorbidity. MoA: Stimulates insulin release by blocking K-ATP channels. Can cause weight gain.
456,Glucagon,Severe Hypoglycemia,Hormone,0.4,4.5,1,"TA: Treats severe hypoglycemia, the opposite of Wegovy's T2DM context. MoA: Hormone that raises blood glucose, acting on a related but opposing pathway to GLP-1."
457,Glucosamine,Osteoarthritis,Nutritional Supplement,0,10,4,"TA: Joint health, unrelated. MoA: Precursor for glycosaminoglycans."
458,Glutathione,Nutritional Supplement,Antioxidant,0.3,9.7,0.2,"TA: Supplement. Minimal score for role in oxidative stress, relevant to metabolic disease. MoA: Major intracellular antioxidant."
459,Glycerin,"Constipation, Ocular Hypertension",Osmotic Agent,0,10,0.2,"TA: GI/ophthalmology, unrelated. MoA: Osmotic action."
460,Glycopyrrolate,"Peptic Ulcers, Anesthesia (reduce secretions)",Anticholinergic,0,9.8,0,"TA: GI/anesthesiology, unrelated. MoA: Muscarinic antagonism."
461,Goserelin Acetate,"Prostate/Breast Cancer, Endometriosis",GnRH Agonist,0,9.9,3,"TA: Oncology/gynecology, unrelated. MoA: Modulation of the HPG axis."
462,Gramicidin,Bacterial Infections (Topical),Polypeptide Antibiotic,0,10,0,"TA: Infectious disease, unrelated. MoA: Forms pores in bacterial membranes."
463,Granisetron,CINV,Serotonin 5-HT3 Receptor Antagonist,1.8,9.6,0,TA: Antiemetic. Minor symptomatic link. MoA: Serotonin 5-HT3 antagonism.
464,Granulocyte Colony Stimulating Factor,Neutropenia,Growth Factor,0,9.9,0,"TA: Hematology, unrelated. MoA: Stimulates production of neutrophils."
465,Griseofulvin,"Fungal Infections (Skin, Hair, Nails)",Antifungal,0,10,0,"TA: Infectious disease, unrelated. MoA: Disrupts fungal mitotic spindle."
466,Guaifenesin,Cough (Expectorant),Expectorant,0,10,0,"TA: Respiratory symptom relief, unrelated. MoA: Increases volume and reduces viscosity of respiratory secretions."
467,Haloperidol,"Schizophrenia, Tourette's",Typical Antipsychotic (Dopamine Antagonist),1.6,9.6,3.5,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Dopamine antagonism."
468,Haloperidol Decanoate,Schizophrenia,Typical Antipsychotic (Long-acting),1.6,9.6,3.5,"TA: Psychiatry, unrelated. MoA: Dopamine antagonism."
469,Homotaurine,Not a standard drug; supplement for cognitive health,GABA Analog,0,9.6,0.1,"TA: Supplement, unrelated. MoA: GABAergic activity."
470,Human Normal Immunoglobulin,"Immunodeficiency, Autoimmune Diseases",Immunoglobulin Replacement/Modulation,0,10,0,"TA: Immunology, unrelated. MoA: Provides passive immunity/modulates immune system."
471,Hyaluronic Acid,"Osteoarthritis, Dermal Filler",Polysaccharide,0,10,4,"TA: Joint health/cosmetic, unrelated. MoA: Viscosupplementation/volume enhancement."
472,Hydralazine,"Hypertension, Heart Failure",Vasodilator,5.2,9.8,5.3,TA: Treats hypertension and heart failure. MoA: Direct arterial smooth muscle relaxant.
473,Hydrochlorothiazide,"Hypertension, Edema",Thiazide Diuretic,5.2,9.8,5.5,"TA: Treats hypertension, a key comorbidity. MoA: Inhibits sodium-chloride symporter in the kidney."
474,Hydrocortisone,"Inflammation, Adrenal Insufficiency",Corticosteroid,0.3,9.9,3.2,"TA: Inflammatory conditions, unrelated. MoA: Glucocorticoid receptor agonism."
475,Hydroquinone,Hyperpigmentation,Tyrosinase Inhibitor,0,10,0,"TA: Dermatology, unrelated. MoA: Inhibits melanin synthesis."
476,Hydrotalcite,Antacid,Antacid,0,10,0.3,"TA: GI symptom relief, unrelated. MoA:"
477,Hydroxychloroquine,"Autoimmune diseases (rheumatoid arthritis, lupus), malaria","Immunomodulator, inhibits Toll-like receptors",2,4,0.2,Low therapeutic similarity; mechanism is not novel.
478,Hydroxyprogesterone,Prevention of preterm birth,"Progestin, progesterone receptor agonist",1,3,0.7,No therapeutic similarity; well-established mechanism.
479,Hydroxypropylmethylcellulose,Dry eyes,Lubricant and thickener,0,0,0,Not a pharmacological agent.
480,Hydroxyurea,"Cancer, sickle cell anemia",Inhibits ribonucleotide reductase,0,3,0,No therapeutic similarity; established cytotoxic agent.
481,Hydroxyzine,"Allergic itching, anxiety",Histamine H1 receptor inverse agonist,1,2,0.9,No therapeutic similarity; very old mechanism.
482,Hyoscine Butylbromide,"Abdominal cramps, IBS",Anticholinergic/antimuscarinic,2.5,2,0.5,Distant GI connection; very old mechanism.
483,Hyoscyamine,"GI disorders, bladder spasms",Anticholinergic/antimuscarinic,2.5,2,0.5,Distant GI connection; very old mechanism.
484,Ibandronic Acid,Osteoporosis,"Bisphosphonate, inhibits osteoclast activity",1,3,0,No therapeutic similarity; established mechanism.
485,Ibrutinib,B-cell cancers,Bruton's tyrosine kinase (BTK) inhibitor,0,8,0,No therapeutic similarity; relatively novel mechanism.
486,Ibuprofen,"Pain, fever, inflammation","NSAID, inhibits COX enzymes",1,1,4.1,No therapeutic similarity; very common mechanism.
487,Idebenone,Leber's hereditary optic neuropathy,"Antioxidant, coenzyme Q10 analog",1.5,5,0.2,No direct therapeutic similarity; antioxidant mechanism is general.
488,Ifosfamide,Cancer,"Alkylating agent, DNA synthesis inhibitor",0,2,0,No therapeutic similarity; old cytotoxic agent.
489,Iguratimod,Rheumatoid arthritis,"Immunomodulator, inhibits NF-κB",2,6.5,4.3,Low therapeutic similarity; moderately novel immunomodulatory mechanism.
490,Ilaprazole,"Acid reflux, ulcers",Proton pump inhibitor (PPI),3,4,1.6,Some GI connection; PPIs are an established class.
491,Iloperidone,Schizophrenia,"Atypical antipsychotic, dopamine D2 and serotonin 5-HT2A antagonist",1,4,3.6,No therapeutic similarity; established antipsychotic mechanism.
492,Imatinib Mesylate,"Cancer (CML, GIST)",Tyrosine kinase inhibitor (BCR-ABL),0,8.5,0,No therapeutic similarity; highly novel targeted therapy.
493,Imipenem,Bacterial infections,"Carbapenem antibiotic, inhibits cell wall synthesis",0,3,0,No therapeutic similarity; established antibiotic class.
494,Imipramine,Depression,"Tricyclic antidepressant, norepinephrine and serotonin reuptake inhibitor",2.5,2,2.5,"Some overlap with CNS effects, but different therapeutic area; old mechanism."
495,Imiquimod,"Genital warts, skin cancer","Toll-like receptor 7 (TLR7) agonist, immune response modifier",1,7.5,0,No therapeutic similarity; novel mechanism of action.
496,Inactivated Influenza Vaccine,Influenza prevention,Induces an immune response to the influenza virus,0,N/A,0,Not a therapeutic drug with a mechanism of action in the traditional sense.
497,Indapamide,"Hypertension, edema",Thiazide-like diuretic,2,3,5.5,Distant cardiovascular link; established diuretic mechanism.
498,Indinavir,HIV/AIDS,Protease inhibitor,0,7,1.1,No therapeutic similarity; part of a novel class of antivirals.
499,Indomethacin,"Pain, inflammation","NSAID, inhibits COX enzymes",1,1,4.1,No therapeutic similarity; very common mechanism.
500,Infliximab,"Autoimmune diseases (Crohn's, rheumatoid arthritis)","Monoclonal antibody, TNF-alpha inhibitor",2.5,8,4.4,"Low therapeutic similarity; biologic with a targeted, novel mechanism."
501,Inositol Nicotinate,High cholesterol,"Nicotinic acid derivative, lipid-lowering agent",5,4,0.8,Some overlap in metabolic area; established mechanism.
502,Insulin Aspart,Diabetes,Rapid-acting insulin analog,9,6,8.8,Very high therapeutic similarity (diabetes); mechanism is a modification of a natural hormone.
503,Insulin Isophane/Nph,Diabetes,Intermediate-acting insulin,9,5,8.8,Very high therapeutic similarity (diabetes); older insulin formulation.
504,Insulin Lispro,Diabetes,Rapid-acting insulin analog,9,6,8.8,Very high therapeutic similarity (diabetes); mechanism is a modification of a natural hormone.
505,Iohexol,Medical imaging,Contrast agent,0,N/A,0,Not a therapeutic drug.
506,Ipratropium Bromide,"COPD, asthma",Anticholinergic/antimuscarinic,1,2,5.8,No therapeutic similarity; old mechanism.
507,Irbesartan,"Hypertension, diabetic nephropathy",Angiotensin II receptor blocker (ARB),3,5,0,Some cardiovascular/metabolic overlap; established mechanism.
508,Irinotecan,Cancer (colorectal),Topoisomerase I inhibitor,0,4,0.1,No therapeutic similarity; established cytotoxic agent.
509,Iron,Iron-deficiency anemia,Mineral supplement,1,1,0.1,Not a drug with a complex mechanism of action.
510,Iron Isomaltoside,Iron-deficiency anemia,Iron replacement product,1,2,0.1,More complex formulation but still a supplement.
511,Iron Sucrose,Iron-deficiency anemia,Iron replacement product,1,2,0,More complex formulation but still a supplement.
512,Isoflurane,General anesthesia,"Inhaled anesthetic, enhances GABA receptor function",0,3,0,No therapeutic similarity; old anesthetic mechanism.
513,Isoniazid,Tuberculosis,"Antibiotic, inhibits mycolic acid synthesis",0,4,0,No therapeutic similarity; specific to mycobacteria.
514,Isoprenaline,"Bradycardia, heart block",Non-selective beta-adrenergic agonist,3.5,3,0.4,"Some metabolic effects, but primarily cardiovascular; old mechanism."
515,Isopropamide,GI disorders,Anticholinergic,2.5,2,5,Distant GI connection; old mechanism.
516,Isosorbide Dinitrate,"Angina, heart failure","Vasodilator, nitric oxide donor",2,3,5,Cardiovascular focus; established mechanism.
517,Isosorbide Mononitrate,"Angina, heart failure","Vasodilator, nitric oxide donor",2,3,2,Cardiovascular focus; established mechanism.
518,Isotretinoin,Severe acne,"Retinoid, multiple effects on sebaceous glands",1,5,4.4,No therapeutic similarity; unique mechanism for a dermatological drug.
519,Isoxsuprine,"Peripheral vascular disease, preterm labor","Beta-adrenergic agonist, vasodilator",2,3,2.2,Distant metabolic/vascular link; old mechanism.
520,Itopride,"Dyspepsia, GERD","Prokinetic agent, dopamine D2 antagonist and acetylcholinesterase inhibitor",4,4,0,GI focus; established prokinetic mechanism.
521,Itraconazole,Fungal infections,"Antifungal, inhibits ergosterol synthesis",0,4,5.3,No therapeutic similarity; established antifungal mechanism.
522,Ivabradine,"Heart failure, angina",Funny channel (If) inhibitor in the sinoatrial node,2,7,0,Cardiovascular focus; novel mechanism for heart rate reduction.
523,Ivermectin,Parasitic infections,"Anthelmintic, targets glutamate-gated chloride channels",0,6,0,No therapeutic similarity; novel mechanism for an antiparasitic.
524,Kanamycin,Bacterial infections,"Aminoglycoside antibiotic, inhibits protein synthesis",0,3,0,No therapeutic similarity; established antibiotic class.
525,Ketamine,"Anesthesia, depression",NMDA receptor antagonist,1,6.5,0,No therapeutic similarity; novel mechanism for depression.
526,Ketoconazole,Fungal infections,"Antifungal, inhibits ergosterol synthesis",0,4,4.1,No therapeutic similarity; established antifungal mechanism.
527,Ketoprofen,"Pain, inflammation","NSAID, inhibits COX enzymes",1,1,4.1,No therapeutic similarity; very common mechanism.
528,Ketorolac,Pain,"NSAID, inhibits COX enzymes",1,1,0.8,No therapeutic similarity; very common mechanism.
529,Ketotifen,"Allergic conjunctivitis, asthma",Antihistamine and mast cell stabilizer,1,3,0.1,No therapeutic similarity; established mechanism.
530,L-Alanyl-L-Glutamine,Nutritional supplement,Dipeptide of L-alanine and L-glutamine,2,2,0.3,"Nutritional support, not a drug with a specific MoA."
531,L-Arginine,Dietary supplement,"Amino acid, precursor to nitric oxide",2.5,2,0.1,General metabolic/cardiovascular use; not a specific MoA.
532,L-Methyl Folate,Folate deficiency,Active form of folate,1.5,1,0.1,Nutritional supplement.
533,L-Methyl Folate Calcium,Folate deficiency,Calcium salt of the active form of folate,1.5,1,0.4,Nutritional supplement.
534,L-Ornithine L-Aspartate,Hepatic encephalopathy,Combination of two amino acids,2,3,5.7,"Metabolic focus, but for a specific liver condition."
535,Labetalol,Hypertension,"Beta-blocker (beta-1, beta-2) and alpha-1 blocker",2.5,3,5.4,Cardiovascular focus; established mechanism.
536,Lacidipine,Hypertension,Calcium channel blocker,2,4,0,Cardiovascular focus; established mechanism.
537,Lacosamide,Epilepsy,"Anticonvulsant, enhances slow inactivation of voltage-gated sodium channels",1,6.5,0.2,No therapeutic similarity; relatively novel anticonvulsant mechanism.
538,Lactitol,"Constipation, hepatic encephalopathy",Osmotic laxative,3,2,0.2,GI focus; simple osmotic mechanism.
539,Lactulose,"Constipation, hepatic encephalopathy",Osmotic laxative,3,2,1.5,GI focus; simple osmotic mechanism.
540,Lafutidine,"Acid reflux, ulcers",H2 receptor antagonist,3,3,0,GI focus; older mechanism than PPIs.
541,Lamivudine,"HIV/AIDS, hepatitis B",Nucleoside reverse transcriptase inhibitor (NRTI),0,6,0,No therapeutic similarity; established class of antivirals.
542,Lamotrigine,"Epilepsy, bipolar disorder","Anticonvulsant, sodium channel blocker",1,4,1.6,No therapeutic similarity; established anticonvulsant mechanism.
543,Lansoprazole,"Acid reflux, ulcers",Proton pump inhibitor (PPI),3,4,0,GI focus; established class.
544,Lanthanum Carbonate,Hyperphosphatemia in kidney disease,Phosphate binder,1,3,0,No therapeutic similarity; simple binding mechanism.
545,Lapatinib,Breast cancer,Dual tyrosine kinase inhibitor (EGFR and HER2),0,8,0,No therapeutic similarity; targeted cancer therapy.
546,Ledipasvir,Hepatitis C,NS5A inhibitor,0,8.5,4.3,No therapeutic similarity; highly novel antiviral mechanism.
547,Leflunomide,Rheumatoid arthritis,"Immunosuppressant, inhibits pyrimidine synthesis",2,6,0,Low therapeutic similarity; moderately novel mechanism.
548,Lenalidomide,Multiple myeloma,Immunomodulatory drug (IMiD),0,8,0,No therapeutic similarity; novel mechanism of action.
549,Lenvatinib,"Cancer (thyroid, renal)",Multiple tyrosine kinase inhibitor,0,8,5.4,No therapeutic similarity; targeted cancer therapy.
550,Lercanidipine,Hypertension,Calcium channel blocker,2,4,3,Cardiovascular focus; established mechanism.
551,Letrozole,Breast cancer,Aromatase inhibitor,1,5,3,No therapeutic similarity; hormonal mechanism for cancer.
552,Leuprolide,"Prostate cancer, endometriosis",Gonadotropin-releasing hormone (GnRH) agonist,1,6,0,No therapeutic similarity; hormonal mechanism.
553,Levamisole,"Parasitic infections, cancer (adjuvant)","Anthelmintic, immunomodulator",0,5,0,No therapeutic similarity; diverse and not fully understood mechanisms.
554,Levetiracetam,Epilepsy,"Anticonvulsant, binds to synaptic vesicle protein 2A (SV2A)",1,7.5,0.4,No therapeutic similarity; novel anticonvulsant mechanism.
555,Levo-Carnitine,Carnitine deficiency,Amino acid derivative,3,2,0,"Metabolic focus, but as a supplement for a specific deficiency."
556,Levocetirizine,Allergic rhinitis,"Antihistamine, H1 receptor inverse agonist",1,2.5,0,"No therapeutic similarity; second-generation antihistamine, but same core mechanism."
557,Levodopa,Parkinson's disease,Dopamine precursor,1,4,0,No therapeutic similarity; established mechanism for Parkinson's.
558,Levodropropizine,Cough,"Antitussive, peripheral mechanism",1,3,0,No therapeutic similarity; common symptom-relief drug.
559,Levofloxacin,Bacterial infections,"Fluoroquinolone antibiotic, inhibits DNA gyrase",0,4,0,No therapeutic similarity; established antibiotic class.
560,Levonorgestrel,Contraception,"Progestin, progesterone receptor agonist",1,3,0.7,No therapeutic similarity; well-established hormonal mechanism.
561,Levosalbutamol,"Asthma, COPD",Beta-2 adrenergic agonist,1.5,2.5,0,Distant link through adrenergic receptors; well-established mechanism.
562,Levosimendan,Acute decompensated heart failure,Calcium sensitizer and K-ATP channel opener,2,7,0,Cardiovascular focus; novel mechanism for inotropy.
563,Levosulpiride,"Dyspepsia, psychosis","Prokinetic and antipsychotic, D2 antagonist",3.5,4,2.8,GI and CNS effects; established mechanism.
564,Lidocaine,"Local anesthetic, arrhythmias",Sodium channel blocker,1,2,4.3,No therapeutic similarity; very old and common mechanism.
565,Linagliptin,Type 2 diabetes,DPP-4 inhibitor,9.5,7,8,"Very high therapeutic similarity; part of the incretin system, similar to GLP-1 agonists."
566,Lincomycin,Bacterial infections,"Lincosamide antibiotic, inhibits protein synthesis",0,3,0,No therapeutic similarity; established antibiotic class.
567,Lindane,"Scabies, lice","Ectoparasiticide, neurotoxin",0,2,0,No therapeutic similarity; old and now rarely used.
568,Linezolid,Bacterial infections,"Oxazolidinone antibiotic, inhibits protein synthesis",0,6.5,0,No therapeutic similarity; novel class of antibiotics.
569,Liposomal Amphotericin B,Fungal infections,"Antifungal, binds to ergosterol",0,4,0,No therapeutic similarity; formulation improvement on an old drug.
570,Liquid Paraffin,Constipation,Lubricant laxative,3,1,0.2,GI focus; simple physical mechanism.
571,Lisinopril,"Hypertension, heart failure",ACE inhibitor,3,4,5.8,Cardiovascular/metabolic overlap; very established class.
572,Lithium Carbonate,Bipolar disorder,"Mood stabilizer, mechanism not fully understood",1,3,3,No therapeutic similarity; old drug with an still un-certain mechanism.
573,Lomefloxacin,Bacterial infections,Fluoroquinolone antibiotic,0,4,0,No therapeutic similarity; established class.
574,Lomustine,Cancer,Alkylating agent,0,2,0,No therapeutic similarity; old cytotoxic agent.
575,Loperamide,Diarrhea,Opioid receptor agonist in the myenteric plexus,3.5,3,0.3,GI focus; well-established mechanism for symptomatic relief.
576,Loratadine,Allergic rhinitis,"Antihistamine, H1 receptor inverse agonist",1,2.5,0,No therapeutic similarity; second-generation antihistamine.
577,Lorazepam,"Anxiety, insomnia","Benzodiazepine, GABA-A receptor modulator",1,2,0.5,No therapeutic similarity; very old and well-known mechanism.
578,Lornoxicam,"Pain, inflammation",NSAID,1,1,4.1,No therapeutic similarity; common mechanism.
579,Losartan,"Hypertension, diabetic nephropathy",Angiotensin II receptor blocker (ARB),3,5,5.8,Cardiovascular/metabolic overlap; established mechanism.
580,Loteprednol Etabonate,Eye inflammation,Corticosteroid,1,3,0,Local anti-inflammatory use; well-known mechanism.
581,Lovastatin,High cholesterol,HMG-CoA reductase inhibitor (statin),6,5,6.8,High therapeutic similarity (metabolic/cardiovascular); very established class.
582,Loxapine,Schizophrenia,Typical antipsychotic,1,2,1.5,No therapeutic similarity; old mechanism.
583,Luliconazole,Fungal infections,Antifungal,0,4,0,No therapeutic similarity; established mechanism.
584,Lurasidone,"Schizophrenia, bipolar depression",Atypical antipsychotic,1,4.5,2,No therapeutic similarity; part of a newer generation of antipsychotics.
585,Lymecycline,Bacterial infections,Tetracycline antibiotic,0,2,0,No therapeutic similarity; old class of antibiotics.
586,Lysine,Dietary supplement,Essential amino acid,1.5,1,0.1,Nutritional supplement.
587,Macitentan,Pulmonary arterial hypertension,Endothelin receptor antagonist,2,7.5,3,Cardiovascular focus; novel mechanism for a specific condition.
588,Magaldrate,"Acid reflux, ulcers",Antacid,3,1,0.3,GI focus; simple neutralizing mechanism.
589,Magnesium Bisglycinate,Magnesium supplement,Mineral supplement,1.5,1,0.4,Nutritional supplement.
590,Magnesium Carbonate,"Magnesium supplement, antacid",Mineral supplement,1.5,1,0.4,Nutritional supplement.
591,Magnesium Citrate,"Constipation, magnesium supplement","Osmotic laxative, mineral supplement",2.5,1.5,0.3,GI and nutritional use; simple mechanism.
592,Magnesium Valproate,"Epilepsy, bipolar disorder",Anticonvulsant,1,3,3.7,No therapeutic similarity; salt of an old anticonvulsant.
593,Mebendazole,Anthelmintic,Inhibits microtubule synthesis in parasitic worms,0.1,0.2,0,Not related to weight management or metabolic disease. The mechanism is highly specific to parasites.
594,Mebeverine,Irritable Bowel Syndrome (IBS),"Antispasmodic, direct action on smooth muscle of the GI tract",2.5,1.5,0.5,"GI-related, but not for weight loss. The mechanism is not related to appetite or metabolism."
595,Meclizine,"Antiemetic, Antivertigo",H1 receptor antagonist,1.2,1.8,0.8,"Used for nausea and vertigo, not weight management. The mechanism is not related to metabolic pathways."
596,Medroxyprogesterone Acetate,"Contraception, Hormone Replacement Therapy","Progestin, inhibits gonadotropin secretion",1.5,1.2,0.7,"Hormone-related, but not in a metabolic context. Weight gain can be a side effect, but it's not the therapeutic goal."
597,Mefenamic Acid,"Analgesic, Anti-inflammatory","Non-steroidal anti-inflammatory drug (NSAID), inhibits COX-1 and COX-2",0.5,0.5,1,Pain and inflammation are not related to weight loss. Common mechanism of action.
598,Mefloquine,Antimalarial,"Blood schizonticide, specific mechanism not fully understood",0.1,2.5,0,"Infectious disease treatment, completely unrelated to Wegovy's therapeutic area."
599,Megestrol,Appetite stimulant in cachexia,"Progestin, appetite-stimulating effects are not fully understood",1.8,4.5,2.9,"Used to increase appetite and weight, the opposite of Wegovy. Some hormonal link, but the mechanism is different."
600,Melatonin,"Sleep aid, Circadian rhythm disorders",Agonist at melatonin receptors (MT1 and MT2),2.2,3.5,0.6,"Sleep and metabolism are linked, but this is not a primary weight loss drug. The mechanism is distinct from appetite regulation."
601,Melitracen,Antidepressant,"Tricyclic antidepressant (TCA), inhibits reuptake of norepinephrine and serotonin",1.8,2.2,2.4,Mental health is a different therapeutic area. Weight changes can be a side effect.
602,Meloxicam,"Analgesic, Anti-inflammatory","NSAID, preferential COX-2 inhibitor",0.5,0.8,4.1,"Pain and inflammation, unrelated to weight management."
603,Melphalan,Chemotherapy,"Alkylating agent, damages DNA in cancer cells",0.1,0.1,0,Oncology is a completely different field.
604,Memantine,Alzheimer's Disease,NMDA receptor antagonist,1.5,2.8,0.3,Neurological disorders are not the target area for Wegovy.
605,Menadione,Vitamin K deficiency,Synthetic Vitamin K analog,0.3,0.3,0.1,"Nutritional supplement, not a weight management drug."
606,Menthol,"Topical analgesic, Decongestant","Activates TRPM8 receptors, causing a cooling sensation",0.1,0.1,0,"Symptomatic relief, not a systemic metabolic drug."
607,Mephentermine,Vasopressor,Alpha and Beta-adrenergic agonist,0.2,1.5,0,"Used to treat hypotension, not related to weight management."
608,Mepolizumab,Severe Eosinophilic Asthma,"Monoclonal antibody, IL-5 antagonist",1.2,8.5,0,"Respiratory disease, unrelated to metabolic disorders. However, it's a biologic with a specific target."
609,Mercaptopurine,"Chemotherapy, Immunosuppressant","Purine analog, inhibits DNA synthesis",0.1,0.2,0,Oncology and autoimmune diseases are not related to weight loss.
610,Meropenem,Antibiotic,"Carbapenem antibiotic, inhibits bacterial cell wall synthesis",0.1,0.1,0,Infectious disease treatment.
611,Mesalazine,Inflammatory Bowel Disease (IBD),"Anti-inflammatory agent, mechanism not fully understood but likely local action in the colon",2.5,3.2,0.8,"GI-related, but for inflammation, not weight management."
612,Mesna,Chemotherapy adjunct,Reduces the risk of hemorrhagic cystitis from ifosfamide and cyclophosphamide,0.1,0.1,0,Used for supportive care in oncology.
613,Mesterolone,Androgen deficiency,"Androgen, synthetic derivative of dihydrotestosterone",1.5,2.5,3.3,"Hormone replacement, but for androgens, not related to GLP-1 pathway."
614,Metadoxine,Alcoholism,"Combination of pyridoxine and pyrrolidone carboxylate, enhances alcohol metabolism",1.2,2.8,0.2,Used for a specific type of substance use disorder.
615,Metamizole,"Analgesic, Antipyretic","Non-opioid analgesic, mechanism not fully understood",0.5,1.2,0,"Pain and fever, unrelated to weight loss."
616,Metformin,Type 2 Diabetes,"Biguanide, decreases hepatic glucose production and increases insulin sensitivity",8.5,6.5,9.2,A first-line treatment for type 2 diabetes. Often associated with modest weight loss. Different mechanism than Wegovy.
617,Methdilazine,"Antihistamine, Antipruritic","Phenothiazine derivative, H1 receptor antagonist",0.8,1.5,0.8,Allergy and itching are not related to weight management.
618,Methimazole,Hyperthyroidism,"Thionamide, inhibits thyroid hormone synthesis",2.5,2.2,2.5,"Endocrine-related, but for the thyroid, not the GLP-1 system. Can cause weight gain."
619,Methocarbamol,Muscle relaxant,Central nervous system depressant,0.2,0.8,0,"Musculoskeletal conditions, not metabolic disorders."
620,Methotrexate,"Chemotherapy, Immunosuppressant","Dihydrofolate reductase inhibitor, inhibits DNA synthesis",0.1,0.2,0.8,Oncology and autoimmune diseases.
621,Methoxsalen,"Psoriasis, Vitiligo","Photosensitizing agent, used with UV radiation",0.1,1.8,0.2,Dermatological conditions.
622,Methylcobalamin,Vitamin B12 deficiency,Active form of Vitamin B12,0.3,0.3,0.1,Nutritional supplement.
623,Methyldopa,Antihypertensive,"Alpha-2 adrenergic agonist, reduces sympathetic outflow from the CNS",3.5,2.5,5.3,"Cardiovascular drug, but the mechanism is not related to weight management."
624,Methylergometrine,Postpartum hemorrhage,"Ergot alkaloid, causes uterine contractions",0.1,1.2,0,"Obstetric use, unrelated to metabolic disease."
625,Methylphenidate,"ADHD, Narcolepsy","CNS stimulant, dopamine and norepinephrine reuptake inhibitor",4.5,5.5,3.5,"Can cause weight loss as a side effect due to appetite suppression, but used for a different indication. The mechanism affects neurotransmitters involved in appetite."
626,Methylprednisolone,"Anti-inflammatory, Immunosuppressant",Corticosteroid,1.2,1.2,3.2,Can cause weight gain as a side effect. Broad anti-inflammatory effects.
627,Metoclopramide,"Antiemetic, Gastroprokinetic","Dopamine D2 receptor antagonist, 5-HT4 receptor agonist",2.2,3.2,2,"GI motility and nausea, not weight loss."
628,Metolazone,"Diuretic, Antihypertensive",Thiazide-like diuretic,3.2,1.8,5.5,"Causes fluid loss, not fat loss. Used for hypertension and edema."
629,Metoprolol Succinate,"Antihypertensive, Antianginal",Beta-blocker (beta-1 selective),3.5,1.5,5.1,"Cardiovascular drug, can cause weight gain."
630,Metoprolol Tartrate,"Antihypertensive, Antianginal",Beta-blocker (beta-1 selective),3.5,1.5,5.1,"Same as Metoprolol Succinate, just a different salt."
631,Metronidazole,Antibiotic,"Nitroimidazole antibiotic, disrupts DNA of anaerobic bacteria and protozoa",0.1,0.1,0,Infectious disease treatment.
